연번,종류,시도,시군구,읍면동,설치장소명,도로명주소,지번주소,경도,위도,설치일시
490,그늘막(고정형),서울특별시,성동구,사근동,살곶이체육공원 파크골프장,서울특별시 성동구 중랑천서자전거길 209   (사근동),서울특별시 성동구 사근동 102-16 ,127.0503,37.554,2025-06-17
491,그늘막(고정형),서울특별시,성동구,사근동,살곶이체육공원 파크골프장,서울특별시 성동구 중랑천서자전거길 209   (사근동),서울특별시 성동구 사근동 102-16 ,127.0503,37.554,2025-06-17
492,그늘막(고정형),서울특별시,성동구,사근동,살곶이체육공원 파크골프장,서울특별시 성동구 중랑천서자전거길 209   (사근동),서울특별시 성동구 사근동 102-16 ,127.0503,37.554,2025-06-17
493,그늘막(고정형),서울특별시,성동구,사근동,사근삼거리 천변쪽 횡단보도 앞, ,서울특별시 성동구 사근동 235-12 ,127.0495114,37.561627,2025-07-31
494,그늘막(스마트형),서울특별시,성동구,행당제1동,성동구청 앞 횡단보도,서울특별시 성동구 고산자로 260   (행당동),서울특별시 성동구 행당동 7 ,127.0363739,37.5637468,2023-08-08
495,그늘막(스마트형),서울특별시,성동구,행당제1동,도담도담 꿈 놀이터(1),서울특별시 성동구 고산자로 260   (행당동),서울특별시 성동구 행당동 7 ,127.0369774,37.5623541,2023-08-08
496,그늘막(스마트형),서울특별시,성동구,행당제1동,도담도담 꿈 놀이터(2),서울특별시 성동구 고산자로 260   (행당동),서울특별시 성동구 행당동 7 ,127.0367548,37.5622585,2023-08-08
497,그늘막(스마트형),서울특별시,성동구,행당제1동,성동구청 광장 연못 앞,서울특별시 성동구 고산자로 260   (행당동),서울특별시 성동구 행당동 7 ,127.0365107,37.562924,2023-08-08
498,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 교차로(지하철 8번 출구 앞) 교통섬,서울특별시 성동구 왕십리로 300-1    (행당동),서울특별시 성동구 행당동 188-1 ,127.0358287,37.5609623,2017-06-27
499,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 교차로(10번 11번 출구 사이) 교통섬,서울특별시 성동구 왕십리로 309-1    (행당동),서울특별시 성동구 행당동 188-9 ,127.0350011,37.561323,2017-06-27
500,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 교차로(지하철 9번 출구 앞) 교통섬,서울특별시 성동구 왕십리로 309-1    (행당동),서울특별시 성동구 행당동 188-9 ,127.0355025,37.5608215,2017-06-27
501,그늘막(고정형),서울특별시,성동구,행당제1동,피자헛 앞 횡단보도 건너편 교통섬,서울특별시 성동구 왕십리로 259   (행당동),서울특별시 성동구 행당동 130-120 ,127.0386256,37.5585247,2018-05-16
502,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 6-1번 출구 교통섬,서울특별시 성동구 왕십리광장로 17   (행당동),서울특별시 성동구 행당동 168-151 ,127.0378148,37.561117,2017-06-27
503,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 5번 출구 앞,서울특별시 성동구 왕십리광장로 17   (행당동),서울특별시 성동구 행당동 168-151 ,127.037631,37.5614443,2018-05-16
504,그늘막(고정형),서울특별시,성동구,행당제1동,응봉사거리(행당한신상가 앞),"서울특별시 성동구 고산자로 164   (행당동, 서울숲한신더휴)",서울특별시 성동구 행당동 348 ,127.0347133,37.5547923,2019-05-03
505,그늘막(고정형),서울특별시,성동구,행당제1동,삼부아파트 정문 앞,"서울특별시 성동구 왕십리로 280   (행당동, 서울숲삼부아파트)",서울특별시 성동구 행당동 147 ,127.0371179,37.559447,2017-06-27
506,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 교차로(지하철 3번 출구 앞) 교통섬,서울특별시 성동구 왕십리로 300-1    (행당동),서울특별시 성동구 행당동 188-1 ,127.0357431,37.5613739,2017-06-27
507,그늘막(고정형),서울특별시,성동구,행당제1동,왕십리역 4번 출구 앞,서울특별시 성동구 왕십리광장로 17   (행당동),서울특별시 성동구 행당동 168-151 ,127.036907,37.5614711,2018-09-06
508,그늘막(고정형),서울특별시,성동구,행당제1동,행당초등학교 앞 횡단보도,서울특별시 성동구 고산자로8길 6   (행당동),서울특별시 성동구 행당동 320-60 ,127.0343528,37.5565125,2018-10-30
509,그늘막(고정형),서울특별시,성동구,행당제1동,소월아트홀 앞, ,서울특별시 성동구 행당동 144-1 ,127.036677,37.5594136,2024-09-20
510,그늘막(고정형),서울특별시,성동구,행당제2동,행당역 1번 출구 앞,서울특별시 성동구 행당로 87   (행당동),서울특별시 성동구 행당동 347 ,127.026776,37.5561899,2017-08-01
511,그늘막(고정형),서울특별시,성동구,행당제2동,대림아파트 후문(튼튼삐아제 어린이집 앞),서울특별시 성동구 난계로 58   (행당동),서울특별시 성동구 행당동 347-2 ,127.0248871,37.5574028,2019-05-03
512,그늘막(고정형),서울특별시,성동구,행당제2동,신한은행 앞,서울특별시 성동구 고산자로 203   (행당동),서울특별시 성동구 행당동 319-9 ,127.0338429,37.5582666,2020-09-18
513,그늘막(고정형),서울특별시,성동구,행당제2동,논골사거리(대림아파트 앞),서울특별시 성동구 행당로 75   (행당동),서울특별시 성동구 행당동 347 ,127.0249687,37.555751,2020-09-18
514,그늘막(고정형),서울특별시,성동구,행당제2동,행당초등학교 앞 건너편 횡단보도,서울특별시 성동구 고산자로 197   (행당동),서울특별시 성동구 행당동 322-1 ,127.0339787,37.5565686,2024-09-20
515,그늘막(고정형),서울특별시,성동구,행당제2동,응봉사거리(신동아아파트 정문 앞) 교통섬, ,서울특별시 성동구 행당동 128-511 ,127.0342147,37.5548888,2025-07-31
516,그늘막(고정형),서울특별시,성동구,응봉동,응봉사거리(대림종합상가 앞) 교통섬,서울특별시 성동구 독서당로 434   (응봉동),서울특별시 성동구 응봉동 100 ,127.0341739,37.5541308,2017-06-27
517,그늘막(고정형),서울특별시,성동구,응봉동,응봉사거리(신동아아파트 천성교회 앞),"서울특별시 성동구 독서당로 375   (응봉동, 신동아아파트)",서울특별시 성동구 응봉동 275 ,127.0338168,37.5543053,2017-08-01
518,그늘막(고정형),서울특별시,성동구,응봉동,현대아파트 상가 앞,서울특별시 성동구 독서당로 381   (응봉동),서울특별시 성동구 응봉동 98 ,127.0307721,37.5501493,2019-05-03
519,그늘막(고정형),서울특별시,성동구,응봉동,응봉사거리(대림종합상가 응봉역 방면) 마을버스 정류장,서울특별시 성동구 독서당로 434   (응봉동),서울특별시 성동구 응봉동 100 ,127.0343064,37.5538589,2019-08-14
520,그늘막(고정형),서울특별시,성동구,금호1가동,금호사거리(만족오향족발 앞) 교통섬,서울특별시 성동구 금호로 54   (금호동1가),서울특별시 성동구 금호동1가 1803 ,127.0259528,37.548176,2017-06-27
521,그늘막(고정형),서울특별시,성동구,금호1가동,금호파크힐스 117동 앞 교통섬,"서울특별시 성동구 금호로 110   (금호동1가, 이편한세상금호파크힐스)",서울특별시 성동구 금호동1가 1824 ,127.0249001,37.5526014,2017-07-05
522,그늘막(고정형),서울특별시,성동구,금호1가동,금호힐오피스텔 앞 교통섬,서울특별시 성동구 금호로 94   (금호동1가),서울특별시 성동구 금호동1가 1755 ,127.0254644,37.5521378,2017-07-05
523,그늘막(고정형),서울특별시,성동구,금호1가동,논골사거리(구시다 앞),서울특별시 성동구 행당로5길 2   (금호동1가),서울특별시 성동구 금호동1가 168-65 ,127.0246186,37.5558154,2017-08-01
524,그늘막(고정형),서울특별시,성동구,금호1가동,논골사거리(성동온누리약국 앞),서울특별시 성동구 난계로 36   (금호동1가),서울특별시 성동구 금호동1가 710 ,127.0249506,37.5555429,2017-08-01
525,그늘막(고정형),서울특별시,성동구,금호1가동,금호고등학교 앞 횡단보도,서울특별시 성동구 금호로 118   (금호동1가),서울특별시 성동구 금호동1가 1822 ,127.0236444,37.5530774,2017-07-05
526,그늘막(고정형),서울특별시,성동구,금호1가동,금호파크힐스 101동 앞 출입 게이트,"서울특별시 성동구 금호로 140   (금호동1가, 이편한세상금호파크힐스)",서울특별시 성동구 금호동1가 1823 ,127.0214051,37.5536903,2018-06-25
527,그늘막(고정형),서울특별시,성동구,금호1가동,금호파크힐스 109동 앞 출입 게이트,"서울특별시 성동구 금호로 140   (금호동1가, 이편한세상금호파크힐스)",서울특별시 성동구 금호동1가 1823 ,127.0214752,37.5536591,2018-06-25
528,그늘막(고정형),서울특별시,성동구,금호1가동,대현교회 앞,서울특별시 성동구 행당로 22   (금호동1가),서울특별시 성동구 금호동1가 1830 ,127.0222359,37.5553053,2018-06-25
529,그늘막(고정형),서울특별시,성동구,금호1가동,싱글벙글세탁소 앞,서울특별시 성동구 행당로1길 21-10    (금호동1가),서울특별시 성동구 금호동1가 132-13 ,127.0244352,37.5575296,2019-05-03
530,그늘막(고정형),서울특별시,성동구,금호1가동,성동중앙교회 앞,서울특별시 성동구 난계로 13   (금호동1가),서울특별시 성동구 금호동1가 613 ,127.0245425,37.5534574,2019-08-14
531,그늘막(고정형),서울특별시,성동구,금호1가동,금호1가 주민센터 앞 마을버스 정류장,서울특별시 성동구 금호로 166-1    (금호동1가),서울특별시 성동구 금호동1가 101 ,127.0208449,37.5548124,2019-09-02
532,그늘막(고정형),서울특별시,성동구,금호2.3가동,래미안 하이리버(102동)상가 앞 교통섬,서울특별시 성동구 금호로 105   (금호동2가),서울특별시 성동구 금호동2가 1217 ,127.0249221,37.5522355,2017-07-05
533,그늘막(고정형),서울특별시,성동구,금호2.3가동,금호사거리(서울강냉이 앞) 교통섬,서울특별시 성동구 독서당로 329   (금호동3가),서울특별시 성동구 금호동3가 210 ,127.0255958,37.5482333,2017-06-27
534,그늘막(고정형),서울특별시,성동구,금호2.3가동,금호2-3가동 주민센터 앞(금호자이1차 101동 앞), ,서울특별시 성동구 금호동2가 1213 ,127.02241,37.5529539,2017-06-27
535,그늘막(고정형),서울특별시,성동구,금호2.3가동,신금호 파크자이 정문 앞,"서울특별시 성동구 금호로 173   (금호동2가, 신금호파크자이)",서울특별시 성동구 금호동2가 78-1 ,127.0198304,37.5559107,2017-08-01
536,그늘막(고정형),서울특별시,성동구,금호2.3가동,신금호역2번 출구 앞 횡단보도,서울특별시 성동구 금호로 157-1    (금호동2가),서울특별시 성동구 금호동2가 221-2 ,127.0199103,37.555078,2021-08-10
537,그늘막(고정형),서울특별시,성동구,금호4가동,금호대우아파트(201동 앞) 마을버스 정류장,"서울특별시 성동구 독서당로 272   (금호동4가, 금호동 대우아파트)",서울특별시 성동구 금호동4가 800 ,127.0216167,37.5469364,2019-09-02
538,그늘막(고정형),서울특별시,성동구,금호4가동,금호역 교차로(3번출구 앞),서울특별시 성동구 동호로 99   (금호동4가),서울특별시 성동구 금호동4가 1483 ,127.0157489,37.5477454,2017-07-05
539,그늘막(고정형),서울특별시,성동구,금호4가동,독서당 인문아카데미 앞,서울특별시 성동구 금호로 30   (금호동4가),서울특별시 성동구 금호동4가 56 ,127.025222,37.5463687,2018-05-16
540,그늘막(고정형),서울특별시,성동구,금호4가동,힐스테이트 서울숲 리버 정문 앞,"서울특별시 성동구 금호로 40   (금호동4가, 힐스테이트 서울숲리버)",서울특별시 성동구 금호동4가 1553 ,127.0255223,37.5469642,2018-05-16
541,그늘막(고정형),서울특별시,성동구,금호4가동,금호사거리(무쇠막 생고기 앞) 교통섬,서울특별시 성동구 금호로 47-1    (금호동4가),서울특별시 성동구 금호동4가 118 ,127.0255563,37.5478359,2017-06-27
542,그늘막(고정형),서울특별시,성동구,금호4가동,금호사거리(하나가구인테리어 앞) 교통섬,서울특별시 성동구 독서당로 334   (금호동4가),서울특별시 성동구 금호동4가 101-6 ,127.0259155,37.5478851,2017-06-27
543,그늘막(고정형),서울특별시,성동구,금호4가동,금남시장 교차로(다이소 앞),서울특별시 성동구 독서당로 292   (금호동4가),서울특별시 성동구 금호동4가 572 ,127.0218131,37.5480384,2018-06-25
544,그늘막(고정형),서울특별시,성동구,금호4가동,금호대우아파트 정문 앞,"서울특별시 성동구 독서당로 272   (금호동4가, 금호동 대우아파트)",서울특별시 성동구 금호동4가 801 ,127.0184896,37.5460813,2018-06-25
545,그늘막(고정형),서울특별시,성동구,금호4가동,서울숲푸르지오 2차(211동 앞) 마을버스정류장,"서울특별시 성동구 금호로 17   (금호동4가, 서울숲2차푸르지오)",서울특별시 성동구 금호동4가 235 ,127.0237027,37.5449969,2018-09-06
546,그늘막(고정형),서울특별시,성동구,금호4가동,금호삼성래미안아파트 입구 앞(성동구보훈회관 맞은편), ,서울특별시 성동구 금호동4가 산 3-4 ,127.0272523,37.5482343,2023-08-02
547,그늘막(고정형),서울특별시,성동구,옥수동,래미안 옥수리버젠 상가 앞,서울특별시 성동구 독서당로 223   (옥수동),서울특별시 성동구 옥수동 561 ,127.015355,37.5441977,2017-07-05
548,그늘막(고정형),서울특별시,성동구,옥수동,래미안 옥수리버젠 108동 앞,"서울특별시 성동구 매봉길 15   (옥수동, 래미안 옥수 리버젠)",서울특별시 성동구 옥수동 561 ,127.0146871,37.5457509,2018-06-25
549,그늘막(고정형),서울특별시,성동구,옥수동,래미안 옥수리버젠 112동 앞,"서울특별시 성동구 매봉길 15   (옥수동, 래미안 옥수 리버젠)",서울특별시 성동구 옥수동 561 ,127.0148672,37.5455586,2018-06-25
550,그늘막(고정형),서울특별시,성동구,옥수동,래미안 옥수리버젠 201동 앞,"서울특별시 성동구 매봉길 17   (옥수동, 래미안 옥수 리버젠)",서울특별시 성동구 옥수동 562 ,127.0140659,37.5465252,2018-06-25
551,그늘막(고정형),서울특별시,성동구,옥수동,e-편한세상 옥수파크힐스 101동 앞,"서울특별시 성동구 매봉길 50   (옥수동, 이편한세상옥수파크힐스)",서울특별시 성동구 옥수동 528-1 ,127.0123854,37.5474694,2018-06-25
552,그늘막(고정형),서울특별시,성동구,옥수동,옥수강변풍림아이원 건너편(옥수자전거대여소 앞),"서울특별시 성동구 뚝섬로 51   (옥수동, 옥수강변풍림아이원)",서울특별시 성동구 옥수동 60 ,127.0203566,37.5418779,2018-10-30
553,그늘막(고정형),서울특별시,성동구,옥수동,옥수강변풍림아이원 앞 교통섬,"서울특별시 성동구 뚝섬로 51   (옥수동, 옥수강변풍림아이원)",서울특별시 성동구 옥수동 60 ,127.019706,37.5417481,2018-10-30
554,그늘막(고정형),서울특별시,성동구,옥수동,117동,"서울특별시 성동구 매봉길 50   (옥수동, 이편한세상옥수파크힐스)",서울특별시 성동구 옥수동 528 ,127.0124717,37.5473984,2020-09-18
555,그늘막(고정형),서울특별시,성동구,옥수동,맑은샘 어린이집 앞,서울특별시 성동구 매봉길 51   (옥수동),서울특별시 성동구 옥수동 528-2 ,127.0135253,37.5466234,2020-09-18
556,그늘막(고정형),서울특별시,성동구,옥수동,e-편한세항 옥수파크힐스 102동 앞,"서울특별시 성동구 매봉길 50   (옥수동, 이편한세상옥수파크힐스)",서울특별시 성동구 옥수동 528 ,127.0128424,37.5473538,2022-07-21
557,그늘막(고정형),서울특별시,성동구,옥수동,옥수동 루터교회 앞,서울특별시 성동구 매봉길 88   (옥수동),서울특별시 성동구 옥수동 528-3 ,127.0126616,37.5493112,2022-07-21
558,그늘막(고정형),서울특별시,성동구,옥수동,옥수동 루터교회 앞(금옥어린이집 방향),서울특별시 성동구 매봉길 88   (옥수동),서울특별시 성동구 옥수동 528-3 ,127.012673,37.5493743,2022-08-12
559,그늘막(고정형),서울특별시,성동구,옥수동,옥수역 퀸즈베이커리 앞(옥수역 3번출구), ,서울특별시 성동구 옥수동 367-4 ,127.0171991,37.5412838,2023-08-21
560,그늘막(고정형),서울특별시,성동구,옥수동,래미안 옥수리버젠 115동 앞,서울특별시 성동구 독서당로 211   (옥수동),서울특별시 성동구 옥수동 561 ,127.0153964,37.5451281,2024-09-20
561,그늘막(고정형),서울특별시,성동구,성수1가제1동,성동구민 종합체육센터 주차장 앞,서울특별시 성동구 왕십리로 89   (성수동1가),서울특별시 성동구 성수동1가 685-697 ,127.0446288,37.5452932,2017-08-01
562,그늘막(고정형),서울특별시,성동구,성수1가제1동,성수대교북단 교차로(삼표레미콘 방향) 교통섬,서울특별시 성동구 고산자로 71   (성수동1가),서울특별시 성동구 성수동1가 683 ,127.0359424,37.544317,2017-06-27
563,그늘막(고정형),서울특별시,성동구,성수1가제1동,서술숲입구 교차로(서울숲 글귀 앞) 교통섬,서울특별시 성동구 고산자로 71   (성수동1가),서울특별시 성동구 성수동1가 683 ,127.0440488,37.5417212,2017-06-27
564,그늘막(고정형),서울특별시,성동구,성수1가제1동,성수대교 북단 교차로(서울숲 10번 출입구 앞),서울특별시 성동구 고산자로 71   (성수동1가),서울특별시 성동구 성수동1가 683-1 ,127.0363911,37.5436922,2017-06-27
565,그늘막(고정형),서울특별시,성동구,성수1가제1동,성수대교북단 교차로(서울숲11번 출입구 앞),서울특별시 성동구 고산자로 71   (성수동1가),서울특별시 성동구 성수동1가 683 ,127.0359057,37.5438643,2017-06-27
566,그늘막(고정형),서울특별시,성동구,성수1가제1동,성수대교북단 교차로(서울숲 9번 출입구 앞),서울특별시 성동구 고산자로 71   (성수동1가),서울특별시 성동구 성수동1가 683-1 ,127.0365526,37.5441441,2017-06-27
567,그늘막(고정형),서울특별시,성동구,성수1가제1동,경동초등학교 앞 교차로 교통섬,서울특별시 성동구 성수일로 34   (성수동1가),서울특별시 성동구 성수동1가 19-1 ,127.0496026,37.5440277,2017-07-05
568,그늘막(고정형),서울특별시,성동구,성수1가제1동,언더스탠드 에비뉴(서울숲 역 방향) 횡단보도,서울특별시 성동구 왕십리로 63   (성수동1가),서울특별시 성동구 성수동1가 685-704 ,127.0444744,37.5433675,2017-07-05
569,그늘막(고정형),서울특별시,성동구,성수1가제1동,경일초등학교 정문 앞,서울특별시 성동구 뚝섬로 332   (성수동1가),서울특별시 성동구 성수동1가 656-32 ,127.0479471,37.5405575,2017-08-01
570,그늘막(고정형),서울특별시,성동구,성수1가제1동,아크로 서울포레스트 앞,"서울특별시 성동구 왕십리로 83-21    (성수동1가, 아크로 서울포레스트)",서울특별시 성동구 성수동1가 685-700 ,127.0447329,37.545031,2017-08-01
571,그늘막(고정형),서울특별시,성동구,성수1가제1동,트리마제 CU 앞,"서울특별시 성동구 왕십리로 16   (성수동1가, 트리마제)",서울특별시 성동구 성수동1가 718 ,127.0457984,37.5393359,2019-05-03
572,그늘막(고정형),서울특별시,성동구,성수1가제1동,서울숲입구 교차로(스타벅스 앞),서울특별시 성동구 왕십리로 50   (성수동1가),서울특별시 성동구 성수동1가 656-335 ,127.0443939,37.5419532,2020-09-18
573,그늘막(고정형),서울특별시,성동구,성수1가제1동,뚝도 아리수 정수센터 입구 작은 교통섬,"서울특별시 성동구 왕십리로 36   (성수동1가, 강변 건영아파트)",서울특별시 성동구 성수동1가 710 ,127.0439812,37.5399395,2021-09-17
574,그늘막(고정형),서울특별시,성동구,성수1가제1동,트리마제 앞 횡단보도,서울특별시 성동구 성덕정길 23   (성수동1가),서울특별시 성동구 성수동1가 656-2 ,127.0462501,37.5391696,2021-09-17
575,그늘막(고정형),서울특별시,성동구,성수1가제1동,경일초등학교 앞 사거리 성수우동 앞, ,서울특별시 성동구 성수동1가 72-128 ,127.0483205,37.5407556,2025-07-31
576,그늘막(고정형),서울특별시,성동구,성수1가제1동,경동초등학교 유치원 앞 횡단보도,서울특별시 성동구 성수일로 34   (성수동1가),서울특별시 성동구 성수동1가 19-1 ,127.049447,37.5434268,2025-07-31
577,그늘막(고정형),서울특별시,성동구,성수1가제2동,뚝섬역 교차로(SK-LPG 충전소 앞) 교통섬,서울특별시 성동구 왕십리로 124   (성수동1가),서울특별시 성동구 성수동1가 656-1119 ,127.0448206,37.5484403,2017-07-05
578,그늘막(고정형),서울특별시,성동구,성수1가제2동,뚝섬역 교차로(국민은행 서울숲지점 앞),서울특별시 성동구 왕십리로 115   (성수동1가),서울특별시 성동구 성수동1가 656-75 ,127.0443756,37.5478926,2019-08-14
579,그늘막(고정형),서울특별시,성동구,성수1가제2동,뚝섬역 교차로(빵굽는작은마을 앞),서울특별시 성동구 아차산로 6   (성수동1가),서울특별시 성동구 성수동1가 656-1731 ,127.0448148,37.5479192,2017-08-01
580,그늘막(고정형),서울특별시,성동구,성수1가제2동,뚝섬역 4번 출구 앞 횡단보도,서울특별시 성동구 아차산로 41   (성수동1가),서울특별시 성동구 성수동1가 14-28 ,127.0491476,37.5468218,2018-06-25
581,그늘막(고정형),서울특별시,성동구,성수1가제2동,뚝섬역 5번 출구 앞 횡단보도 건너편,서울특별시 성동구 아차산로 42   (성수동1가),서울특별시 성동구 성수동1가 14-33 ,127.0489196,37.5465439,2018-06-25
582,그늘막(고정형),서울특별시,성동구,성수1가제2동,코오롱디지털타워3차 앞 횡단보도,서울특별시 성동구 아차산로 49   (성수동1가),서울특별시 성동구 성수동1가 14-18 ,127.0502925,37.546545,2021-08-10
583,그늘막(고정형),서울특별시,성동구,성수1가제2동,성동교사거리 북서(성동교 인근 광고게시대 앞 횡단보도), ,서울특별시 성동구 성수동1가 674-8 ,127.0438072,37.5516801,2023-08-02
584,그늘막(고정형),서울특별시,성동구,성수1가제2동,성동교사거리 남서(성동교 인근 광고게시대 앞 횡단보도 맞은편), ,서울특별시 성동구 성수동1가 671-126 ,127.0438834,37.551322,2023-08-02
585,그늘막(고정형),서울특별시,성동구,성수1가제2동,"서울숲아이파크리버포레 1,2차아파트 사이 횡단보도", ,서울특별시 성동구 성수동1가 671-9 ,127.0440504,37.5499831,2025-07-31
586,그늘막(고정형),서울특별시,성동구,성수2가제1동,태진운수 앞 버스정류장,서울특별시 성동구 둘레15길 8   (성수동2가),서울특별시 성동구 성수동2가 649-1 ,127.0557133,37.5356899,2018-09-06
587,그늘막(고정형),서울특별시,성동구,성수2가제1동,SD웨딩센터 앞,서울특별시 성동구 뚝섬로 447   (성수동2가),서울특별시 성동구 성수동2가 231-1 ,127.0609881,37.537486,2020-09-18
588,그늘막(고정형),서울특별시,성동구,성수2가제3동,상원삼거리(GS-LPG충전소 앞),서울특별시 성동구 광나루로 200   (성수동2가),서울특별시 성동구 성수동2가 284-108 ,127.0522204,37.550676,2017-07-05
589,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수역 2번 출구 횡단보도 건너편,서울특별시 성동구 성수이로 108   (성수동2가),서울특별시 성동구 성수동2가 277-81 ,127.0572892,37.5444062,2018-06-25
590,그늘막(고정형),서울특별시,성동구,성수2가제3동,화양사거리(삼천리자전거 앞),서울특별시 성동구 광나루로 334   (성수동2가),서울특별시 성동구 성수동2가 281-30 ,127.0671127,37.5481265,2017-06-27
591,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수사거리(GS칼텍스 앞),서울특별시 성동구 아차산로 180   (성수동2가),서울특별시 성동구 성수동2가 19-14 ,127.063713,37.5420507,2017-06-27
592,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수실업 앞,서울특별시 성동구 성수이로 126   (성수동2가),서울특별시 성동구 성수동2가 277-20 ,127.0578029,37.5463089,2017-08-01
593,그늘막(고정형),서울특별시,성동구,성수2가제3동,보문빌딩 앞,서울특별시 성동구 성수이로 127   (성수동2가),서울특별시 성동구 성수동2가 289-8 ,127.0575418,37.5463911,2017-08-01
594,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수아이파크 상가(예스부동산 앞),"서울특별시 성동구 성수이로 137   (성수동2가, 성수동아이파크)",서울특별시 성동구 성수동2가 834 ,127.0575741,37.5465104,2017-08-01
595,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수사거리(BMW 매장 앞),서울특별시 성동구 동일로 111   (성수동2가),서울특별시 성동구 성수동2가 19-13 ,127.0639237,37.542452,2019-09-02
596,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수 SK V1 CENTER II,서울특별시 성동구 광나루로8길 31   (성수동2가),서울특별시 성동구 성수동2가 281-18 ,127.066513,37.5470017,2020-09-18
597,그늘막(고정형),서울특별시,성동구,성수2가제3동,코오롱디지털타워3차 대각선 방향 횡단보도,서울특별시 성동구 아차산로 56   (성수동2가),서울특별시 성동구 성수동2가 301-33 ,127.0504613,37.5460919,2021-08-10
598,그늘막(고정형),서울특별시,성동구,성수2가제3동,치과의사회관 건물 횡단보도 건너편,서울특별시 성동구 광나루로 260   (성수동2가),서울특별시 성동구 성수동2가 277-11 ,127.0585024,37.548545,
599,그늘막(고정형),서울특별시,성동구,성수2가제3동,현대오일뱅크 앞 횡단보도,서울특별시 성동구 광나루로 254   (성수동2가),서울특별시 성동구 성수동2가 289-2 ,127.0580923,37.5486489,2023-08-02
600,그늘막(고정형),서울특별시,성동구,성수2가제3동,센스빌오피스텔 앞 횡단보도 맞은편,서울특별시 성동구 광나루로 232   (성수동2가),서울특별시 성동구 성수동2가 299-1 ,127.0558268,37.5494226,
601,그늘막(고정형),서울특별시,성동구,성수2가제3동,성수초등학교 정문, ,서울특별시 성동구 성수동2가 277-72 ,127.0643225,37.5442775,2024-09-20
602,그늘막(고정형),서울특별시,성동구,송정동,왕약국 앞,서울특별시 성동구 광나루로 323   (송정동),서울특별시 성동구 송정동 66-196 ,127.065574,37.54835,2017-07-05
603,그늘막(고정형),서울특별시,성동구,송정동,센스빌오피스텔 앞 횡단보도,서울특별시 성동구 광나루로 237   (송정동),서울특별시 성동구 송정동 81-16 ,127.0561211,37.5496499,
604,그늘막(고정형),서울특별시,성동구,송정동,삼일철강 앞(성수2가3동주민센터 정류장),서울특별시 성동구 광나루로 221-1    (송정동),서울특별시 성동구 송정동 81-27 ,127.0548116,37.5501607,2023-08-21
605,그늘막(고정형),서울특별시,성동구,용답동,신답역 교차로(前 명문예식장 앞),서울특별시 성동구 마장로 360   (용답동),서울특별시 성동구 용답동 121 ,127.0485743,37.569586,2018-05-16
606,그늘막(고정형),서울특별시,성동구,용답동,신답역 교차로(용답휴식공원 앞),서울특별시 성동구 천호대로 234-1    (용답동),서울특별시 성동구 용답동 128-4 ,127.0482414,37.5697825,2019-05-03
607,그늘막(고정형),서울특별시,성동구,용답동,답십리역 사거리(파리바게트 앞),서울특별시 성동구 천호대로 312   (용답동),서울특별시 성동구 용답동 1-5 ,127.0546265,37.565115,2018-05-16
608,그늘막(고정형),서울특별시,성동구,용답동,용답동 공영주차장 앞,서울특별시 성동구 천호대로 336   (용답동),서울특별시 성동구 용답동 223 ,127.0565041,37.5636631,2018-05-16
609,그늘막(고정형),서울특별시,성동구,용답동,현대자동차 성동지점 앞,서울특별시 성동구 천호대로 430   (용답동),서울특별시 성동구 용답동 235-1 ,127.0665507,37.5609788,2018-06-25
610,그늘막(고정형),서울특별시,성동구,용답동,서울교통공사 사거리(타이어뱅크 앞) 교통섬,서울특별시 성동구 천호대로 352   (용답동),서울특별시 성동구 용답동 225-1 ,127.0579755,37.5626017,2019-05-03
611,그늘막(고정형),서울특별시,성동구,용답동,"장한평역 7,8번 출구 앞 교통섬", ,서울특별시 성동구 용답동 239-7 ,127.064271,37.5611269,2021-12-18
612,그늘막(고정형),서울특별시,광진구,화양동,화양사거리 KEB하나은행 앞,서울특별시 광진구 동일로 180   (화양동),서울특별시 광진구 화양동 21-6 ,127.0675741,37.5481545,2017-07-03
613,그늘막(고정형),서울특별시,광진구,화양동,능동로 분수광장,서울특별시 광진구 능동로 120   (화양동),서울특별시 광진구 화양동 1 ,127.07241,37.5431023,2017-07-03
614,그늘막(고정형),서울특별시,광진구,화양동,어린이대공원 3번 출구 앞,서울특별시 광진구 능동로 지하210   (화양동),서울특별시 광진구 화양동 164-1 ,127.0742631,37.5470693,2019-06-14
615,그늘막(고정형),서울특별시,광진구,화양동,성수사거리 기아자동차 앞,서울특별시 광진구 아차산로 187   (화양동),서울특별시 광진구 화양동 50-1 ,127.0642888,37.5423402,2019-08-01
